AirlineName,AirportName,MaxAvgDepDelay
"United Air Lines Inc.: UA","Oklahoma City, OK: Will Rogers World",200
"ExpressJet Airlines LLC: EV","Dallas/Fort Worth, TX: Dallas/Fort Worth International",127
"Endeavor Air Inc.: 9E","Bristol/Johnson City/Kingsport, TN: Tri Cities",122
"Mesa Airlines Inc.: YV","Fort Myers, FL: Southwest Florida International",94.07142857142857
"Republic Airline: YX","Houston, TX: William P Hobby",89
"Frontier Airlines Inc.: F9","Albuquerque, NM: Albuquerque International Sunport",85.75
"Envoy Air: MQ","Augusta, GA: Augusta Regional at Bush Field",66.48717948717949
"American Airlines Inc.: AA","Santa Barbara, CA: Santa Barbara Municipal",64.37931034482759
"SkyWest Airlines Inc.: OO","College Station/Bryan, TX: Easterwood Field",61.5
"Allegiant Air: G4","Great Falls, MT: Great Falls International",41.285714285714285
"PSA Airlines Inc.: OH","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",39.035714285714285
"JetBlue Airways: B6","Sarasota/Bradenton, FL: Sarasota/Bradenton International",37.34375
"Delta Air Lines Inc.: DL","Chicago, IL: Chicago O'Hare International",31.560998151571166
"Alaska Airlines Inc.: AS","Adak Island, AK: Adak",27.875
"Hawaiian Airlines Inc.: HA","Los Angeles, CA: Los Angeles International",26.7
"Spirit Air Lines: NK","Boston, MA: Logan International",21.584821428571427
"Southwest Airlines Co.: WN","Newark, NJ: Newark Liberty International",21.424307036247335
