AirportName,CancellationCode,Reason,NumCancellations
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",B,Weather,888
"Chicago, IL: Chicago O'Hare International",B,Weather,844
"Denver, CO: Denver International",B,Weather,467
"Charlotte, NC: Charlotte Douglas International",B,Weather,382
"Minneapolis, MN: Minneapolis-St Paul International",B,Weather,294
"Dallas, TX: Dallas Love Field",B,Weather,231
"Chicago, IL: Chicago Midway International",B,Weather,218
"Houston, TX: William P Hobby",A,Carrier,208
"Houston, TX: George Bush Intercontinental/Houston",B,Weather,195
"New York, NY: LaGuardia",B,Weather,187
"New York, NY: John F. Kennedy International",C,"National Air System",186
"Phoenix, AZ: Phoenix Sky Harbor International",A,Carrier,178
"Los Angeles, CA: Los Angeles International",A,Carrier,168
"Las Vegas, NV: McCarran International",A,Carrier,162
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",A,Carrier,155
"Washington, DC: Ronald Reagan Washington National",B,Weather,136
"Atlanta, GA: Hartsfield-Jackson Atlanta International",A,Carrier,133
"Orlando, FL: Orlando International",B,Weather,132
"Miami, FL: Miami International",B,Weather,128
"San Jose, CA: Norman Y. Mineta San Jose International",A,Carrier,127
"San Diego, CA: San Diego International",A,Carrier,121
"Newark, NJ: Newark Liberty International",B,Weather,120
"Philadelphia, PA: Philadelphia International",B,Weather,113
"Boston, MA: Logan International",B,Weather,111
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",B,Weather,109
"Oakland, CA: Metropolitan Oakland International",A,Carrier,102
"Nashville, TN: Nashville International",A,Carrier,96
"St. Louis, MO: St Louis Lambert International",B,Weather,96
"St. Louis, MO: St Louis Lambert International",A,Carrier,96
"Tampa, FL: Tampa International",B,Weather,95
"Austin, TX: Austin - Bergstrom International",B,Weather,93
"New Orleans, LA: Louis Armstrong New Orleans International",A,Carrier,86
"San Francisco, CA: San Francisco International",A,Carrier,84
"Burbank, CA: Bob Hope",A,Carrier,81
"Kansas City, MO: Kansas City International",B,Weather,76
"San Antonio, TX: San Antonio International",B,Weather,67
"Detroit, MI: Detroit Metro Wayne County",B,Weather,62
"Sacramento, CA: Sacramento International",A,Carrier,57
"Raleigh/Durham, NC: Raleigh-Durham International",B,Weather,55
"Columbia, MO: Columbia Regional",B,Weather,51
"Cleveland, OH: Cleveland-Hopkins International",B,Weather,47
"Memphis, TN: Memphis International",B,Weather,47
"Columbus, OH: John Glenn Columbus International",B,Weather,46
"Fort Myers, FL: Southwest Florida International",B,Weather,44
"Seattle, WA: Seattle/Tacoma International",A,Carrier,44
"Oklahoma City, OK: Will Rogers World",B,Weather,43
"Indianapolis, IN: Indianapolis International",B,Weather,41
"Pittsburgh, PA: Pittsburgh International",B,Weather,39
"Omaha, NE: Eppley Airfield",B,Weather,38
"Cincinnati, OH: Cincinnati/Northern Kentucky International",B,Weather,37
"Salt Lake City, UT: Salt Lake City International",B,Weather,36
"Hartford, CT: Bradley International",B,Weather,34
"Washington, DC: Washington Dulles International",A,Carrier,34
"Jacksonville, FL: Jacksonville International",B,Weather,34
"Tulsa, OK: Tulsa International",B,Weather,34
"Albuquerque, NM: Albuquerque International Sunport",B,Weather,33
"Grand Rapids, MI: Gerald R. Ford International",B,Weather,32
"Milwaukee, WI: General Mitchell International",A,Carrier,32
"Sioux Falls, SD: Joe Foss Field",B,Weather,31
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",B,Weather,31
"West Palm Beach/Palm Beach, FL: Palm Beach International",B,Weather,30
"Rapid City, SD: Rapid City Regional",B,Weather,30
"Wichita, KS: Wichita Dwight D Eisenhower National",B,Weather,27
"Midland/Odessa, TX: Midland International Air and Space Port",B,Weather,27
"Santa Ana, CA: John Wayne Airport-Orange County",B,Weather,27
"Pensacola, FL: Pensacola International",B,Weather,26
"Richmond, VA: Richmond International",B,Weather,26
"Fargo, ND: Hector International",B,Weather,24
"Norfolk, VA: Norfolk International",A,Carrier,24
"Fayetteville, AR: Northwest Arkansas Regional",B,Weather,24
"Charleston, SC: Charleston AFB/International",B,Weather,23
"El Paso, TX: El Paso International",B,Weather,23
"Madison, WI: Dane County Regional-Truax Field",B,Weather,23
"Birmingham, AL: Birmingham-Shuttlesworth International",B,Weather,22
"Greensboro/High Point, NC: Piedmont Triad International",B,Weather,22
"Greer, SC: Greenville-Spartanburg International",B,Weather,22
"Des Moines, IA: Des Moines International",B,Weather,21
"Rochester, NY: Greater Rochester International",C,"National Air System",21
"Louisville, KY: Louisville Muhammad Ali International",B,Weather,21
"Buffalo, NY: Buffalo Niagara International",C,"National Air System",20
"Lubbock, TX: Lubbock Preston Smith International",B,Weather,20
"Knoxville, TN: McGhee Tyson",B,Weather,20
"Dayton, OH: James M Cox/Dayton International",B,Weather,19
"Duluth, MN: Duluth International",B,Weather,19
"Myrtle Beach, SC: Myrtle Beach International",B,Weather,18
"Reno, NV: Reno/Tahoe International",A,Carrier,18
"Tucson, AZ: Tucson International",B,Weather,18
"Amarillo, TX: Rick Husband Amarillo International",B,Weather,17
"White Plains, NY: Westchester County",B,Weather,17
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",B,Weather,16
"Providence, RI: Theodore Francis Green State",A,Carrier,15
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",B,Weather,15
"Burlington, VT: Burlington International",C,"National Air System",14
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",B,Weather,14
"Mission/McAllen/Edinburg, TX: McAllen Miller International",B,Weather,14
"Savannah, GA: Savannah/Hilton Head International",C,"National Air System",14
"Syracuse, NY: Syracuse Hancock International",B,Weather,14
"Syracuse, NY: Syracuse Hancock International",A,Carrier,14
"Charlottesville, VA: Charlottesville Albemarle",B,Weather,13
"Harlingen/San Benito, TX: Valley International",B,Weather,13
"Portland, OR: Portland International",B,Weather,13
"Portland, OR: Portland International",A,Carrier,13
"San Juan, PR: Luis Munoz Marin International",B,Weather,13
"Tallahassee, FL: Tallahassee International",B,Weather,13
"Corpus Christi, TX: Corpus Christi International",B,Weather,12
"Killeen, TX: Robert Gray AAF",B,Weather,12
"Ontario, CA: Ontario International",A,Carrier,12
"Rochester, MN: Rochester International",B,Weather,12
"Springfield, MO: Springfield-Branson National",B,Weather,12
"Shreveport, LA: Shreveport Regional",B,Weather,12
"Albany, NY: Albany International",B,Weather,11
"Asheville, NC: Asheville Regional",B,Weather,11
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",B,Weather,11
"Harrisburg, PA: Harrisburg International",B,Weather,11
"Appleton, WI: Appleton International",B,Weather,10
"Colorado Springs, CO: City of Colorado Springs Municipal",B,Weather,10
