FlightDate,NumFlights,AvgFlights_Preceding3Days
2019-04-01,21266,NULL
2019-04-02,20527,21266.0000
2019-04-03,20842,20896.5000
2019-04-04,21355,20878.3333
2019-04-05,21410,20908.0000
2019-04-06,17523,21202.3333
2019-04-07,20412,20096.0000
2019-04-08,21324,19781.6667
2019-04-09,20497,19753.0000
2019-04-10,20779,20744.3333
2019-04-11,21326,20866.6667
2019-04-12,21363,20867.3333
2019-04-13,17060,21156.0000
2019-04-14,20410,19916.3333
2019-04-15,21351,19611.0000
2019-04-16,20465,19607.0000
2019-04-17,20793,20742.0000
2019-04-18,21344,20869.6667
2019-04-19,21357,20867.3333
2019-04-20,16645,21164.6667
2019-04-21,19738,19782.0000
2019-04-22,21342,19246.6667
2019-04-23,20462,19241.6667
2019-04-24,20736,20514.0000
2019-04-25,21312,20846.6667
2019-04-26,21343,20836.6667
2019-04-27,16948,21130.3333
2019-04-28,20376,19867.6667
2019-04-29,21292,19555.6667
2019-04-30,20425,19538.6667
FlightDate,1,20697.6667
